"Genre" "name"
"Gustavia_Indet." "Gustavia" "Gustavia_Indet."
"Ambelania_acida" "Ambelania" "Ambelania_acida"
"Euterpe_oleracea" "Euterpe" "Euterpe_oleracea"
"Lueheopsis_rugosa" "Lueheopsis" "Lueheopsis_rugosa"
"Sloanea_Indet." "Sloanea" "Sloanea_Indet."
"Diospyros_carbonaria" "Diospyros" "Diospyros_carbonaria"
"Tovomita_sp.B1" "Tovomita" "Tovomita_sp.B1"
"Licania_ovalifolia" "Licania" "Licania_ovalifolia"
"Licaria_cannella" "Licaria" "Licaria_cannella"
"Dacryodes_sp.4CAY-ATDN" "Dacryodes" "Dacryodes_sp.4CAY-ATDN"
"Ruizterania_albiflora" "Ruizterania" "Ruizterania_albiflora"
"Chrysophyllum_argenteum" "Chrysophyllum" "Chrysophyllum_argenteum"
"Eugenia_Indet." "Eugenia" "Eugenia_Indet."
"Indet._sp.7CAY-ATDN" "Indet." "Indet._sp.7CAY-ATDN"
"Himatanthus_articulatus" "Himatanthus" "Himatanthus_articulatus"
"Hieronyma_oblonga" "Hieronyma" "Hieronyma_oblonga"
"Eschweilera_wachenheimii" "Eschweilera" "Eschweilera_wachenheimii"
"Micropholis_guyanensis" "Micropholis" "Micropholis_guyanensis"
"Protium_sagotianum" "Protium" "Protium_sagotianum"
"Micropholis_egensis" "Micropholis" "Micropholis_egensis"
"Faramea_pedunculata" "Faramea" "Faramea_pedunculata"
"Indet._sp.36CAY-ATDN" "Indet." "Indet._sp.36CAY-ATDN"
"Zygia_tetragona" "Zygia" "Zygia_tetragona"
"Glycydendron_amazonicum" "Glycydendron" "Glycydendron_amazonicum"
"Talisia_simaboides" "Talisia" "Talisia_simaboides"
"Eugenia_exaltata" "Eugenia" "Eugenia_exaltata"
"Duroia_longiflora" "Duroia" "Duroia_longiflora"
"Xylopia_Indet." "Xylopia" "Xylopia_Indet."
"Licania_densiflora" "Licania" "Licania_densiflora"
"Ocotea_subterminalis" "Ocotea" "Ocotea_subterminalis"
"Pouteria_sp.42CAY-ATDN" "Pouteria" "Pouteria_sp.42CAY-ATDN"
"Hirtella_bicornis" "Hirtella" "Hirtella_bicornis"
"Aspidosperma_Indet." "Aspidosperma" "Aspidosperma_Indet."
"Eschweilera_Indet." "Eschweilera" "Eschweilera_Indet."
"Xylopia_nitida" "Xylopia" "Xylopia_nitida"
"Myrcia_fallax" "Myrcia" "Myrcia_fallax"
"Trichilia_micrantha" "Trichilia" "Trichilia_micrantha"
"Ecclinusa_ramiflora" "Ecclinusa" "Ecclinusa_ramiflora"
"Tetragastris_panamensis" "Tetragastris" "Tetragastris_panamensis"
"Casearia_pitumba" "Casearia" "Casearia_pitumba"
"Inga_rubiginosa" "Inga" "Inga_rubiginosa"
"Pouteria_bangii" "Pouteria" "Pouteria_bangii"
"Chrysophyllum_cuneifolium" "Chrysophyllum" "Chrysophyllum_cuneifolium"
"Inga_marginata" "Inga" "Inga_marginata"
