idTaxon,Famille,Genre,espece
280,Apocynaceae,Aspidosperma,oblongum
310,Apocynaceae,Himatanthus,drasticus
322,Chrysobalanaceae,Licania,laevigata
327,Chrysobalanaceae,Licania,longistyla
356,Moraceae,Brosimum,parinarioides
364,Clusiaceae,Garcinia,madruno
364,Indet.,Indet.Indet.,Indet.
366,Indet.,Indet.Indet.,Indet.
373,Apocynaceae,Rauvolfia,paraensis
382,Indet.,Indet.Indet.,Indet.
406,Lauraceae,Indet.Lauraceae,sp.N13
409,Combretaceae,Buchenavia,tetraphylla
424,Ebenaceae,Diospyros,capreifolia
425,Ebenaceae,Diospyros,cayennensis
430,Ebenaceae,Diospyros,martinii
438,Elaeocarpaceae,Sloanea,laxiflora
495,Elaeocarpaceae,Sloanea,sp.P33
512,Erythroxylaceae,Erythroxylum,citrifolium
557,Euphorbiaceae,Sapium,paucinervium
562,Araliaceae,Schefflera,decaphylla
562,Araliaceae,Schefflera,morototoni
568,Fabaceae,Parkia,Indet.
605,Fabaceae,Dimorphandra,multiflora
650,Fabaceae,Inga,brevipes
652,Arecaceae,Oenocarpus,bacaba
654,Fabaceae,Inga,capitata_form2
689,Fabaceae,Inga,retinocarpa
749,Fabaceae,Parkia,decussata
780,Fabaceae,Stryphnodendron,pulcherrimum
781,Fabaceae,Swartzia,amshoffiana
786,Fabaceae,Swartzia,canescens
813,Fabaceae,Vatairea,paraensis
844,Hypericaceae,Vismia,sp.P1
857,Lacistemataceae,Lacistema,grandifolium
858,Lacistemataceae,Lacistema,polystachyum
861,Lamiaceae,Vitex,guianensis
872,Lauraceae,Aniba,jenmanii
936,Lauraceae,Indet.Lauraceae,sp.B7
988,Lauraceae,Ocotea,cinerea
994,Lauraceae,Ocotea,indirectinervia
998,Lauraceae,Ocotea,percurrens
1019,Lauraceae,Rhodostemonodaphne,kunthiana
1036,Bignoniaceae,Jacaranda,copaia
1069,Lecythidaceae,Lecythis,persistens subsp. aurantiaca
1083,Malpighiaceae,Byrsonima,stipulacea
1092,Malvaceae,Indet.Bombacaceae,Indet.
1112,Malvaceae,Ceiba,pentandra
1125,Malvaceae,Pachira,flaviflora
1141,Malvaceae,Quararibea,duckei
1144,Malvaceae,Quararibea,spatulata
1150,Boraginaceae,Cordia,nervosa
1166,Malvaceae,Sterculia,sp.P1
1212,Melastomataceae,Mouriri,angulicosta
1252,Moraceae,Ficus,maroniensis
1270,Moraceae,Perebea,rubra
1275,Myristicaceae,Iryanthera,hostmannii
1281,Myrtaceae,Calycolpus,revolutus
1298,Myrtaceae,Eugenia,cucullata
1318,Myrtaceae,Eugenia,patens
1332,Myrtaceae,Marlierea,montana
1343,Myrtaceae,Myrcia,platyclada
1372,Burseraceae,Protium,apiculatum
1373,Burseraceae,Protium,aracouchini
1385,Myrtaceae,Indet.Myrtaceae,sp.P22
1392,Burseraceae,Protium,opacum
1400,Burseraceae,Protium,sagotianum
1401,Myrtaceae,Plinia,rivularis
1403,Burseraceae,Protium,tenuifolium
1404,Burseraceae,Protium,trifoliolatum
1412,Burseraceae,Trattinnickia,rhoifolia
1461,Ochnaceae,Quiina,oiapocensis
1472,Olacaceae,Heisteria,ovata
1477,Fabaceae,Cassia,spruceana
1506,Primulaceae,Cybianthus,surinamensis
1521,Fabaceae,Dialium,guianense
1526,Rubiaceae,Amaioua,glomerulata
1534,Rubiaceae,Coussarea,granvillei
1543,Rubiaceae,Faramea,pedunculata
1551,Fabaceae,Eperua,falcata
1563,Rubiaceae,Pagamea,guianensis
1573,Rubiaceae,Rudgea,lanceifolia
1575,Rubiaceae,Stachyarrhena,acuminata
1576,Rubiaceae,Stenostomum,acreanum
1584,Rutaceae,Hortia,excelsa
1586,Rutaceae,Pilocarpus,goudotianus subsp. goudotianus
1603,Salicaceae,Casearia,combaymensis
1630,Salicaceae,Casearia,ulmifolia
1642,Sapindaceae,Allophylus,angustatus
1646,Sapindaceae,Allophylus,robustus
1653,Fabaceae,Swartzia,bannia
1654,Chrysobalanaceae,Couepia,caryophylloides
1654,Fabaceae,Pterocarpus,rohrii
1654,Indet.,Indet.Indet.,Indet.
1662,Fabaceae,Swartzia,grandifolia
1678,Fabaceae,Swartzia,oblanceolata
1679,Sapindaceae,Talisia,megaphylla
1690,Sapotaceae,Chrysophyllum,eximium
1695,Fabaceae,Swartzia,polyphylla
1695,Fabaceae,Swartzia,remiger
1699,Sapotaceae,Chrysophyllum,venezuelanense
1701,Sapotaceae,Diploon,cuspidatum
1704,Indet.,Indet.Indet.,Indet.
1721,Sapotaceae,Pouteria,benai
1725,Sapotaceae,Pouteria,deliciosa
1726,Sapotaceae,Pouteria,fimbriata
1733,Sapotaceae,Pouteria,gongrijpii
1737,Sapotaceae,Pouteria,macrocarpa
1738,Sapotaceae,Pouteria,maxima
1740,Sapotaceae,Pouteria,platyphylla
1763,Caryocaraceae,Caryocar,villosum
1770,Sapotaceae,Pradosia,huberi
1772,Urticaceae,Cecropia,obtusa
1781,Sapotaceae,Indet.Sapotaceae,sp.5CAY-ATDN
1800,Urticaceae,Pourouma,velutina
1803,Goupiaceae,Goupia,glabra
1808,Siparunaceae,Siparuna,poeppigii
1822,Chrysobalanaceae,Couepia,caryophylloides
1822,Chrysobalanaceae,Licania,heteromorpha
1832,Urticaceae,Coussapoa,angustifolia
1838,Chrysobalanaceae,Couepia,parillo
1866,Chrysobalanaceae,Hirtella,racemosa
1876,Chrysobalanaceae,Licania,alba
1889,Vochysiaceae,Erisma,nitidum
1901,Chrysobalanaceae,Licania,alba
1901,Chrysobalanaceae,Licania,heteromorpha
1904,Chrysobalanaceae,Licania,hypoleuca
1921,Chrysobalanaceae,Licania,membranacea
1923,Chrysobalanaceae,Licania,membranacea
1933,Chrysobalanaceae,Licania,parvifructa
1949,Chrysobalanaceae,Parinari,montana
2046,Clusiaceae,Symphonia,Indet.
2052,Clusiaceae,Tovomita,brevistaminea
2082,Hypericaceae,Vismia,cayennensis
2092,Hypericaceae,Vismia,ramuliflora
2117,Combretaceae,Terminalia,amazonia
2638,Dichapetalaceae,Tapura,capitulifera
2747,Elaeocarpaceae,Sloanea,parviflora
2871,Phyllanthaceae,Amanoa,guianensis
2947,Euphorbiaceae,Glycydendron,amazonicum
2953,Phyllanthaceae,Hieronyma,alchorneoides
2990,Euphorbiaceae,Pera,glabrata
3064,Fabaceae,Ormosia,coutinhoi
3171,Fabaceae,Dipteryx,odorata
3172,Fabaceae,Dipteryx,punctata
3173,Fabaceae,Dussia,discolor
3208,Fabaceae,Lonchocarpus,nicou
1338,Myrtaceae,Myrcia,guianensis
1365,Burseraceae,Crepidospermum,rhoifolium
1367,Burseraceae,Dacryodes,cuspidata
1377,Burseraceae,Protium,opacum
1386,Burseraceae,Protium,opacum
1400,Burseraceae,Protium,opacum
1402,Burseraceae,Protium,subserratum
1412,Indet.,Indet.Indet.,Indet.
1415,Nyctaginaceae,Guapira,eggersiana
1455,Ochnaceae,Ouratea,sp.P1
1459,Ochnaceae,Quiina,integrifolia
1463,Fabaceae,Bocoa,viridiflora
1465,Ochnaceae,Quiina,sessilis
1516,Rhabdodendraceae,Rhabdodendron,amazonicum
1553,Fabaceae,Eperua,grandiflora
1557,Fabaceae,Eperua,rubiginosa
1561,Rubiaceae,Ixora,ulei
1578,Fabaceae,Macrolobium,bifolium
1592,Rutaceae,Zanthoxylum,acuminatum
1598,Sabiaceae,Ophiocaryon,chironectes
1608,Fabaceae,Peltogyne,venosa
1623,Salicaceae,Casearia,sp.D
1627,Salicaceae,Casearia,sp.3CAY-ATDN
1644,Sapindaceae,Allophylus,latifolius
1649,Sapindaceae,Cupania,rubiginosa
1654,Fabaceae,Swartzia,grandifolia
1656,Sapindaceae,Matayba,laevigata
1660,Sapindaceae,Pentascyphus,thyrsiflorus
1663,Fabaceae,Swartzia,guianensis
1663,Fabaceae,Swartzia,leblondii
1674,Sapindaceae,Talisia,clathrata
1681,Fabaceae,Swartzia,panacoco
1688,Sapindaceae,Vouarana,guianensis
1689,Sapotaceae,Chrysophyllum,durifructum
1694,Sapotaceae,Chrysophyllum,prieurii
1710,Fabaceae,Tachigali,myrmecophila
1711,Fabaceae,Tachigali,paniculata
1716,Fabaceae,Vouacapoua,americana
1724,Sapotaceae,Pouteria,cicatricata
1729,Sapotaceae,Pouteria,flavilatex
1730,Sapotaceae,Pouteria,franciscana
1732,Sapotaceae,Pouteria,glomerata
1739,Sapotaceae,Pouteria,petiolata
1754,Caricaceae,Jacaratia,spinosa
1757,Caryocaraceae,Caryocar,glabrum
1759,Caryocaraceae,Caryocar,microcarpum
1772,Urticaceae,Pourouma,minor
1789,Urticaceae,Pourouma,bicolor
1792,Urticaceae,Pourouma,minor
1795,Urticaceae,Pourouma,mollis
1830,Chrysobalanaceae,Couepia,caryophylloides
1830,Chrysobalanaceae,Couepia,guianensis
1830,Indet.,Indet.Indet.,Indet.
1836,Chrysobalanaceae,Couepia,obovata
1844,Chrysobalanaceae,Hirtella,bicornis
1853,Urticaceae,Pourouma,tomentosa
1884,Chrysobalanaceae,Licania,alba
1884,Chrysobalanaceae,Licania,canescens
1916,Chrysobalanaceae,Licania,alba
1921,Chrysobalanaceae,Licania,majuscula
1923,Chrysobalanaceae,Licania,ovalifolia
1923,Indet.,Indet.Indet.,Indet.
1924,Chrysobalanaceae,Licania,membranacea
1930,Chrysobalanaceae,Licania,ovalifolia
1939,Chrysobalanaceae,Licania,robusta
1947,Chrysobalanaceae,Parinari,excelsa
1951,Chrysobalanaceae,Parinari,rodolphii
1962,Calophyllaceae,Caraipa,racemosa
2085,Hypericaceae,Vismia,guianensis
2117,Combretaceae,Terminalia,guyanensis
2639,Dichapetalaceae,Tapura,capitulifera
2639,Dichapetalaceae,Tapura,guianensis
2714,Ebenaceae,Diospyros,carbonaria
2732,Ebenaceae,Diospyros,vestita
2740,Elaeocarpaceae,Sloanea,grandiflora
2741,Elaeocarpaceae,Sloanea,latifolia
2868,Euphorbiaceae,Alchornea,triplinervia
2881,Fabaceae,Swartzia,leblondii
2891,Euphorbiaceae,Conceveiba,guianensis
2908,Euphorbiaceae,Croton,matourensis
2938,Putranjivaceae,Drypetes,fanshawei
2950,Indet.,Indet.Indet.,Indet.
2952,Euphorbiaceae,Hura,crepitans
2977,Euphorbiaceae,Maprounea,guianensis
3064,Fabaceae,Alexa,wachenheimii
3068,Fabaceae,Andira,inermis
3192,Fabaceae,Hymenolobium,flavum
3252,Fabaceae,Ormosia,paraensis
3253,Fabaceae,Ormosia,coccinea
3256,Fabaceae,Ormosia,flava
3261,Fabaceae,Ormosia,paraensis
3274,Fabaceae,Poecilanthe,hostmannii
3299,Fabaceae,Taralea,oppositifolia
3352,Salicaceae,Casearia,sylvestris
1224,Meliaceae,Guarea,carinata
1226,Meliaceae,Guarea,glabra
1229,Meliaceae,Guarea,trunciflora
1235,Meliaceae,Trichilia,pallida
1251,Moraceae,Ficus,malacocarpa
1256,Moraceae,Ficus,schumacheri
1267,Moraceae,Naucleopsis,glabra
1275,Myristicaceae,Iryanthera,Indet.
1289,Myrtaceae,Calyptranthes,speciosa
1292,Myrtaceae,Eugenia,albicans
1299,Myrtaceae,Eugenia,cupulata
1307,Myrtaceae,Eugenia,florida
1315,Myrtaceae,Eugenia,mimus
1348,Myrtaceae,Myrcia,subobliqua
1386,Burseraceae,Protium,guianense
1386,Lauraceae,Ocotea,floribunda
1408,Burseraceae,Tetragastris,panamensis
1409,Burseraceae,Trattinnickia,burserifolia
1435,Fabaceae,Batesia,floribunda
1447,Ochnaceae,Lacunaria,jenmanii
1469,Olacaceae,Dulacia,guianensis
1476,Pentaphylacaceae,Ternstroemia,dentata
